steps,date,interval
0,2012-10-01,0
0,2012-10-01,5
0,2012-10-01,10
0,2012-10-01,15
0,2012-10-01,20
0,2012-10-01,25
0,2012-10-01,30
0,2012-10-01,35
0,2012-10-01,40
0,2012-10-01,45
0,2012-10-01,50
0,2012-10-01,55
0,2012-10-01,100
0,2012-10-01,105
0,2012-10-01,110
0,2012-10-01,115
0,2012-10-01,120
0,2012-10-01,125
0,2012-10-01,130
0,2012-10-01,135
0,2012-10-01,140
0,2012-10-01,145
0,2012-10-01,150
0,2012-10-01,155
0,2012-10-01,200
0,2012-10-01,205
0,2012-10-01,210
0,2012-10-01,215
0,2012-10-01,220
0,2012-10-01,225
0,2012-10-01,230
0,2012-10-01,235
0,2012-10-01,240
0,2012-10-01,245
0,2012-10-01,250
0,2012-10-01,255
0,2012-10-01,300
0,2012-10-01,305
0,2012-10-01,310
0,2012-10-01,315
0,2012-10-01,320
0,2012-10-01,325
0,2012-10-01,330
0,2012-10-01,335
0,2012-10-01,340
0,2012-10-01,345
0,2012-10-01,350
0,2012-10-01,355
0,2012-10-01,400
0,2012-10-01,405
0,2012-10-01,410
0,2012-10-01,415
0,2012-10-01,420
0,2012-10-01,425
0,2012-10-01,430
0,2012-10-01,435
0,2012-10-01,440
0,2012-10-01,445
0,2012-10-01,450
0,2012-10-01,455
0,2012-10-01,500
0,2012-10-01,505
0,2012-10-01,510
0,2012-10-01,515
0,2012-10-01,520
0,2012-10-01,525
0,2012-10-01,530
0,2012-10-01,535
0,2012-10-01,540
0,2012-10-01,545
0,2012-10-01,550
0,2012-10-01,555
0,2012-10-01,600
0,2012-10-01,605
0,2012-10-01,610
0,2012-10-01,615
0,2012-10-01,620
0,2012-10-01,625
0,2012-10-01,630
0,2012-10-01,635
0,2012-10-01,640
0,2012-10-01,645
0,2012-10-01,650
0,2012-10-01,655
0,2012-10-01,700
0,2012-10-01,705
0,2012-10-01,710
0,2012-10-01,715
0,2012-10-01,720
0,2012-10-01,725
0,2012-10-01,730
0,2012-10-01,735
0,2012-10-01,740
0,2012-10-01,745
0,2012-10-01,750
0,2012-10-01,755
0,2012-10-01,800
0,2012-10-01,805
0,2012-10-01,810
0,2012-10-01,815
0,2012-10-01,820
0,2012-10-01,825
0,2012-10-01,830
0,2012-10-01,835
0,2012-10-01,840
0,2012-10-01,845
0,2012-10-01,850
0,2012-10-01,855
0,2012-10-01,900
0,2012-10-01,905
0,2012-10-01,910
0,2012-10-01,915
0,2012-10-01,920
0,2012-10-01,925
0,2012-10-01,930
0,2012-10-01,935
0,2012-10-01,940
0,2012-10-01,945
0,2012-10-01,950
0,2012-10-01,955
0,2012-10-01,1000
0,2012-10-01,1005
0,2012-10-01,1010
0,2012-10-01,1015
0,2012-10-01,1020
0,2012-10-01,1025
0,2012-10-01,1030
0,2012-10-01,1035
0,2012-10-01,1040
0,2012-10-01,1045
0,2012-10-01,1050
0,2012-10-01,1055
0,2012-10-01,1100
0,2012-10-01,1105
0,2012-10-01,1110
0,2012-10-01,1115
0,2012-10-01,1120
0,2012-10-01,1125
0,2012-10-01,1130
0,2012-10-01,1135
0,2012-10-01,1140
0,2012-10-01,1145
0,2012-10-01,1150
0,2012-10-01,1155
0,2012-10-01,1200
0,2012-10-01,1205
0,2012-10-01,1210
0,2012-10-01,1215
0,2012-10-01,1220
0,2012-10-01,1225
0,2012-10-01,1230
0,2012-10-01,1235
0,2012-10-01,1240
0,2012-10-01,1245
0,2012-10-01,1250
0,2012-10-01,1255
0,2012-10-01,1300
0,2012-10-01,1305
0,2012-10-01,1310
0,2012-10-01,1315
0,2012-10-01,1320
0,2012-10-01,1325
0,2012-10-01,1330
0,2012-10-01,1335
0,2012-10-01,1340
0,2012-10-01,1345
0,2012-10-01,1350
0,2012-10-01,1355
0,2012-10-01,1400
0,2012-10-01,1405
0,2012-10-01,1410
0,2012-10-01,1415
0,2012-10-01,1420
0,2012-10-01,1425
0,2012-10-01,1430
0,2012-10-01,1435
0,2012-10-01,1440
0,2012-10-01,1445
0,2012-10-01,1450
0,2012-10-01,1455
0,2012-10-01,1500
0,2012-10-01,1505
0,2012-10-01,1510
0,2012-10-01,1515
0,2012-10-01,1520
0,2012-10-01,1525
0,2012-10-01,1530
0,2012-10-01,1535
0,2012-10-01,1540
0,2012-10-01,1545
0,2012-10-01,1550
0,2012-10-01,1555
0,2012-10-01,1600
0,2012-10-01,1605
0,2012-10-01,1610
0,2012-10-01,1615
0,2012-10-01,1620
0,2012-10-01,1625
0,2012-10-01,1630
0,2012-10-01,1635
0,2012-10-01,1640
0,2012-10-01,1645
0,2012-10-01,1650
0,2012-10-01,1655
0,2012-10-01,1700
0,2012-10-01,1705
0,2012-10-01,1710
0,2012-10-01,1715
0,2012-10-01,1720
0,2012-10-01,1725
0,2012-10-01,1730
0,2012-10-01,1735
0,2012-10-01,1740
0,2012-10-01,1745
0,2012-10-01,1750
0,2012-10-01,1755
0,2012-10-01,1800
0,2012-10-01,1805
0,2012-10-01,1810
0,2012-10-01,1815
0,2012-10-01,1820
0,2012-10-01,1825
0,2012-10-01,1830
0,2012-10-01,1835
0,2012-10-01,1840
0,2012-10-01,1845
0,2012-10-01,1850
0,2012-10-01,1855
0,2012-10-01,1900
0,2012-10-01,1905
0,2012-10-01,1910
0,2012-10-01,1915
0,2012-10-01,1920
0,2012-10-01,1925
0,2012-10-01,1930
0,2012-10-01,1935
0,2012-10-01,1940
0,2012-10-01,1945
0,2012-10-01,1950
0,2012-10-01,1955
0,2012-10-01,2000
0,2012-10-01,2005
0,2012-10-01,2010
0,2012-10-01,2015
0,2012-10-01,2020
0,2012-10-01,2025
0,2012-10-01,2030
0,2012-10-01,2035
0,2012-10-01,2040
0,2012-10-01,2045
0,2012-10-01,2050
0,2012-10-01,2055
0,2012-10-01,2100
0,2012-10-01,2105
0,2012-10-01,2110
0,2012-10-01,2115
0,2012-10-01,2120
0,2012-10-01,2125
0,2012-10-01,2130
0,2012-10-01,2135
0,2012-10-01,2140
0,2012-10-01,2145
0,2012-10-01,2150
0,2012-10-01,2155
0,2012-10-01,2200
0,2012-10-01,2205
0,2012-10-01,2210
0,2012-10-01,2215
0,2012-10-01,2220
0,2012-10-01,2225
0,2012-10-01,2230
0,2012-10-01,2235
0,2012-10-01,2240
0,2012-10-01,2245
0,2012-10-01,2250
0,2012-10-01,2255
0,2012-10-01,2300
0,2012-10-01,2305
0,2012-10-01,2310
0,2012-10-01,2315
0,2012-10-01,2320
0,2012-10-01,2325
0,2012-10-01,2330
0,2012-10-01,2335
0,2012-10-01,2340
0,2012-10-01,2345
